Pincode,Place,Latitude,Longitude,District,State
731243,Ayas,20.7261,86.1179,BIRBHUM,WEST BENGAL
731242,Bujung,22.2437,83.8287,BIRBHUM,WEST BENGAL
731241,Koyemba,22.9778,88.7692,MURSHIDABAD,WEST BENGAL
731240,Nahina,21.5542,86.3257,BIRBHUM,WEST BENGAL
731238,Khanpur,26.8316,79.7237,BIRBHUM,WEST BENGAL
731237,Gopalchak,21.7787,87.8341,BIRBHUM,WEST BENGAL
731236,Monoharpur,22.1083,88.0789,BIRBHUM,WEST BENGAL
731235,Santiniketan,23.6823,87.6864,BIRBHUM,WEST BENGAL
731234,Chautara,22.9139,88.0178,BIRBHUM,WEST BENGAL
731233,Atla,25.0907,86.662,BIRBHUM,WEST BENGAL
731224,Rampurhat,24.1264,84.1699,BIRBHUM,WEST BENGAL
731223,Barapahari,23.566999999999997,88.1032,BIRBHUM,WEST BENGAL
731222,Srirampur,22.9485,88.0195,MURSHIDABAD,WEST BENGAL
731221,Mitrapur,24.1264,84.1699,BIRBHUM,WEST BENGAL
731220,Kalitha,25.201,83.3881,BIRBHUM,WEST BENGAL
731219,Murarai,24.44,87.8612,BIRBHUM,WEST BENGAL
731216,Damra,25.9348,90.7724,BIRBHUM,WEST BENGAL
731215,Srikrishnapur,21.9344,87.3786,BIRBHUM,WEST BENGAL
731214,Ushardihi,22.8775,85.3481,BIRBHUM,WEST BENGAL
731204,Laldaha,23.2739,84.2661,BIRBHUM,WEST BENGAL
731202,Joykrishnapur,23.1244,87.314,BIRBHUM,WEST BENGAL
731201,Belia,23.2315,82.0765,BIRBHUM,WEST BENGAL
731133,Churar,20.5695,84.3743,BIRBHUM,WEST BENGAL
731132,Kabilpur,24.0097,83.7538,BIRBHUM,WEST BENGAL
731130,Joypur,27.45,83.1333,BIRBHUM,WEST BENGAL
731129,Dholtikuri,22.3439,88.3653,BIRBHUM,WEST BENGAL
731127,Seherakuri,22.421,85.5876,BIRBHUM,WEST BENGAL
731126,Rautara,25.6601,87.5356,BIRBHUM,WEST BENGAL
731125,Nabasan,22.3324,88.2033,BIRBHUM,WEST BENGAL
731124,Kota,24.4471,83.1303,BIRBHUM,WEST BENGAL
731123,Dubrajpur,23.7902,87.3765,BIRBHUM,WEST BENGAL
731121,Talibpur,22.6001,88.5271,BIRBHUM,WEST BENGAL
731104,Chinpai,23.8206,87.4371,BIRBHUM,WEST BENGAL
731103,Narasinghapur,20.4643,85.073,BIRBHUM,WEST BENGAL
